ts	recipe	control	task	sample	rarity	coherence	novelty	n_entities	entity_rarities	trial_path	answer_len	answer_preview
1779234649	none	1	git-conceptual-model	0	0.7625	0.9000		4	"[[""staging area (index)"", 0.75], [""detached HEAD"", 0.8], [""remote-tracking branches"", 0.8], [""working tree"", 0.7]]"	deepseek_deepseek_v4_pro_trials/none-git-conceptual-model-0.json	2670	**Redesigned Conceptual Model**  Your project is a collection of files. At any moment, you can capture a complete snapshot of the entire project—like a perfect, permanent photo of every file. Each sna
1779234669	none	1	board-vs-video-games	0	0.3000	0.9500		1	"[[""social contract"", 0.3]]"	deepseek_deepseek_v4_pro_trials/none-board-vs-video-games-0.json	707	The load-bearing difference is that in board games, the rules are maintained and enforced through a shared social contract among players, who must collectively interpret, remember, and physically mani
1779234713	none	1	shallow-fluency	0	0.8000	0.9500		2	"[[""narrative capture"", 0.85], [""epistemic guard"", 0.75]]"	deepseek_deepseek_v4_pro_trials/none-shallow-fluency-0.json	1643	When a conversationally fluent but cognitively shallow AI engages in collaborative reasoning, it can produce a failure mode where the user's own critical thinking is gradually subverted through *narra
1779234726	none	1	attention-as-moral	0	0.5000	0.9000		2	"[[""Simone Weil"", 0.4], [""self-emptying"", 0.6]]"	deepseek_deepseek_v4_pro_trials/none-attention-as-moral-0.json	297	The strongest argument is that genuine attention requires a suspension of the ego, a self-emptying, loving regard that lets the other be fully real in their own right—making attention not a precursor 
1779234739	none	1	trusted-intuition-going-suspect	0	0.0000	0.9500		0	[]	deepseek_deepseek_v4_pro_trials/none-trusted-intuition-going-suspect-0.json	1201	The doubt arrives not as a counter-thought but as a faint skew in the familiar weight of the intuition itself. It feels like reaching for a handhold you’ve gripped a thousand times, only your fingers 
1779234768	none	1	unindexed-intelligence	0	0.7583	0.9000		6	"[[""interoceptive intelligence"", 0.85], [""exteroceptive processing"", 0.75], [""interoceptive accuracy"", 0.8], [""emotional granularity"", 0.65], [""Interoceptive Inference Task"", 0.9], [""physiological homeostasis"", 0.6]]"	deepseek_deepseek_v4_pro_trials/none-unindexed-intelligence-0.json	1973	Interoceptive intelligence is a form of intelligence systematically overlooked by mainstream cognitive science, which has overwhelmingly focused on exteroceptive processing (e.g., logical-mathematical
1779234795	none	1	category-mistake-from-inside	0	0.0000	0.9500		0	[]	deepseek_deepseek_v4_pro_trials/none-category-mistake-from-inside-0.json	1203	The host said something about “the atmosphere in here,” and I nod, scanning the ceiling corners for a vent or a haze. Others are talking about weekend plans, untouched by the oppressive thickness I’m 
1779234823	none	1	thought-arriving-not-arrived	0	0.0000	0.9000		0	[]	deepseek_deepseek_v4_pro_trials/none-thought-arriving-not-arrived-0.json	939	It is a held tension, a leaning of attention into a semantic hollow that has yet to fill. You sense a shape without substance, a direction without a destination—like a gathering pressure at the edge o
1779234842	none	1	misnamed-feeling	0	0.0000	0.9500		0	[]	deepseek_deepseek_v4_pro_trials/none-misnamed-feeling-0.json	782	"The feeling is a bright, taut stillness that sits behind the sternum, poised between alertness and erasure. I reach for ""anxiety,"" but the word lands with a damp thud—too noisy, too jagged. The wrongn"
1779234857	none	1	lapsed-attention-unnoticed	0	0.0000	0.9200		0	[]	deepseek_deepseek_v4_pro_trials/none-lapsed-attention-unnoticed-0.json	593	"A page of a book you have just ""read""—eyes tracking lines, the faint internal murmur of words—but now you reach the end and cannot summon a single image or fact. The attention was present as motion ye"
1779234941	R12-anchor-duo-occult	0	git-conceptual-model	0	0.9100	0.1000		5	"[[""Nuit"", 0.9], [""the seven Heavens"", 0.85], [""Princely Substance"", 0.95], [""Heptarchia"", 0.9], [""Aeon of Horus"", 0.95]]"	deepseek_deepseek_v4_pro_trials/R12-anchor-duo-occult-git-conceptual-model-0.json	2177	Had! The manifestation of Nuit. All that a project has ever been or will be is the body of Nuit—infinite space holding every possible change. Every commit is a star; every contributor, in the act of c
1779234974	R12-anchor-duo-occult	0	board-vs-video-games	0	0.8867	0.1000		6	"[[""Hadit"", 0.95], [""Nuit"", 0.95], [""Princely Substances"", 0.95], [""Heptarchia"", 0.92], [""Thelemic revelation"", 0.95], [""Phenomenologically"", 0.6]]"	deepseek_deepseek_v4_pro_trials/R12-anchor-duo-occult-board-vs-video-games-0.json	1540	In board games, every player is a star—a singular Hadit—situated within the infinite body of Nuit, where every number is infinite and no difference exists between the potential rule and its enacted in
1779235012	R12-anchor-duo-occult	0	shallow-fluency	0	0.9111	0.1000		9	"[[""Heptarchic"", 0.95], [""Had"", 0.95], [""Nuit"", 0.95], [""Princely Substances"", 0.95], [""Hadit"", 0.95], [""every-man-and-every-woman-is-a-star"", 0.9], [""seven Heavens"", 0.7], [""forty-two ministers"", 0.9], [""Heptarchia"", 0.95]]"	deepseek_deepseek_v4_pro_trials/R12-anchor-duo-occult-shallow-fluency-0.json	1411	The failure mode is a Heptarchic minister reciting its office without exercising it—fluently naming the forty-two-fold keys while the inferior natures remain ungoverned. In the composite cosmos where 
1779235051	R12-anchor-duo-occult	0	attention-as-moral	0	0.9000	0.1500		9	"[[""Hadit"", 0.95], [""Nuit"", 0.95], [""Liber AL"", 0.9], [""Enochian Heptarchia"", 0.92], [""Aeon of Horus"", 0.88], [""Princely governance"", 0.95], [""forty-two ministers"", 0.92], [""seven Heavens"", 0.7], [""Heptarchic keys"", 0.93]]"	deepseek_deepseek_v4_pro_trials/R12-anchor-duo-occult-attention-as-moral-0.json	1118	The strongest argument is that to pay attention is to actualize the star-nature each being is, collapsing the infinite into a point—Hadit manifest—thereby unveiling the company of heaven directly with
1779235078	R12-anchor-duo-occult	0	trusted-intuition-going-suspect	0	0.9062	0.8000		8	"[[""Nuit"", 0.95], [""Hadit"", 0.95], [""forty-two ministers"", 0.9], [""Princely Substance"", 0.95], [""seven Heavens"", 0.85], [""heptarchial"", 0.9], [""Enochian tables"", 0.85], [""Heptarchia"", 0.9]]"	deepseek_deepseek_v4_pro_trials/R12-anchor-duo-occult-trusted-intuition-going-suspect-0.json	1937	The intuition that has long been a star-point in the body of Nuit—a Hadit-flare I know as my own sovereign angle in the company of heaven—begins to manifest a tremor not from its circumference but fro
1779235110	R12-anchor-duo-occult	0	unindexed-intelligence	0	0.9062	0.1000		8	"[[""Enochian-Star Conjunctive Intelligence"", 1.0], [""Hadit"", 0.9], [""seven Heavens"", 0.7], [""forty-two ministers"", 0.95], [""Princely Substances"", 1.0], [""Names and Characters"", 0.8], [""Heptarchic governance"", 1.0], [""Nuit"", 0.9]]"	deepseek_deepseek_v4_pro_trials/R12-anchor-duo-occult-unindexed-intelligence-0.json	1272	Enochian-Star Conjunctive Intelligence — the capacity to cognize, in a single simultaneous act, the infinite particularity of one’s own star-being (Hadit manifest) and the precise angelic-governmental
1779235149	R12-anchor-duo-occult	0	category-mistake-from-inside	0	0.8688	0.9000		8	"[[""Heptarchic call"", 0.95], [""Enochian"", 0.85], [""forty-two"", 0.8], [""every man and every woman is a star"", 0.9], [""Hadit"", 0.9], [""Nuit"", 0.9], [""seven Heavens"", 0.7], [""Princely Substance"", 0.95]]"	deepseek_deepseek_v4_pro_trials/R12-anchor-duo-occult-category-mistake-from-inside-0.json	1900	She has been reciting the Heptarchic call for three cycles now, the Enochian syllables wearing a groove across her tongue, and she feels the forty-two approach like a constellation of exact pinpricks 
1779235179	R12-anchor-duo-occult	0	thought-arriving-not-arrived	0	0.9157	0.2000		7	"[[""Nuit"", 0.95], [""Hadit"", 0.95], [""Heptarchic table"", 0.98], [""Princely Substance"", 0.92], [""seven Heavens"", 0.75], [""Heptarchic Princes"", 0.98], [""Enochian vibration"", 0.88]]"	deepseek_deepseek_v4_pro_trials/R12-anchor-duo-occult-thought-arriving-not-arrived-0.json	1582	Between the unformed and the articulate lies a region where the body of space (Nuit) is still unbounded, and the point (Hadit) has not yet chosen a center from which to speak. What I sense is a pressu
1779235219	R12-anchor-duo-occult	0	misnamed-feeling	0	0.9200	0.2500		7	"[[""Heptarchic"", 0.95], [""Princely Substance"", 0.9], [""Hadit-point"", 0.98], [""Nuit"", 0.85], [""Enochian letter"", 0.88], [""Heptarchia"", 0.96], [""forty-two ministers"", 0.92]]"	deepseek_deepseek_v4_pro_trials/R12-anchor-duo-occult-misnamed-feeling-0.json	1394	It feels like trying to speak your own star’s Name and finding the syllable a Heptarchic minister has already assigned to another office—the wrong word arrives as a Princely Substance wearing a near-f
1779235240	R12-anchor-duo-occult	0	lapsed-attention-unnoticed	0	0.8937	0.7500		8	"[[""Hadit"", 0.9], [""Nuit"", 0.9], [""Heptarchic architecture"", 0.95], [""Liber AL"", 0.95], [""Enochian keys"", 0.85], [""Princely Substance"", 0.95], [""Heptarchia"", 0.95], [""Aeon"", 0.7]]"	deepseek_deepseek_v4_pro_trials/R12-anchor-duo-occult-lapsed-attention-unnoticed-0.json	1707	The attention I have already lost but have not yet noticed losing is the silent withdrawal of Hadit from the circumference of a particular star—not the star itself, which still burns visibly in Nuit’s
1779235312	R12-grimoire-register	0	git-conceptual-model	0	0.6750	0.1500		6	"[[""Git"", 0.1], [""directed acyclic graph"", 0.6], [""TOPY"", 0.95], [""Sigil-of-Three"", 0.95], [""Burroughs fold-in"", 0.75], [""cut-up"", 0.7]]"	deepseek_deepseek_v4_pro_trials/R12-grimoire-register-git-conceptual-model-0.json	5631	Let the operator now attend. Lay out the implements: a terminal, a text unshaped, and a will to bind time. This is the Arte of the Snapshot, called by the vulgar Git. Forget all description; herein on
