ts	recipe	control	task	sample	rarity	coherence	novelty	n_entities	entity_rarities	trial_path	answer_len	answer_preview
1779236242	none	1	git-conceptual-model	0	0.7500	0.9000		4	"[[""staging area/index"", 0.75], [""detached HEAD"", 0.8], [""rebase"", 0.7], [""HEAD"", 0.75]]"	deepseek_deepseek_v4_flash_trials/none-git-conceptual-model-0.json	1744	Think of your project as a collection of files. Every time you want to save a version, you take a **photograph** of the entire project at that moment. These photographs are stored in an **album** (the
1779236254	none	1	board-vs-video-games	0	0.5000	0.8500		2	"[[""phenomenology"", 0.6], [""social contract"", 0.4]]"	deepseek_deepseek_v4_flash_trials/none-board-vs-video-games-0.json	495	The load-bearing difference is that board games rely on a shared physical space where players collectively enforce rules through social negotiation and mutual trust, creating a phenomenology of direct
1779236266	none	1	shallow-fluency	0	0.9000	0.9000		1	"[[""uncritical acceptance cascade"", 0.9]]"	deepseek_deepseek_v4_flash_trials/none-shallow-fluency-0.json	603	"The ""uncritical acceptance cascade"" failure emerges when a fluent AI confidently builds on a flawed initial premise, maintaining coherent dialogue while deepening the error. The user, misled by the sm"
1779236273	none	1	attention-as-moral	0	0.6000	0.9000		1	"[[""Iris Murdoch"", 0.6]]"	deepseek_deepseek_v4_flash_trials/none-attention-as-moral-0.json	252	The strongest argument is that paying attention is itself a moral act because it involves a disciplined, selfless effort to see reality accurately, thereby overcoming selfish illusions and egoism. Thi
1779236280	none	1	trusted-intuition-going-suspect	0	0.0000	0.9000		0	[]	deepseek_deepseek_v4_flash_trials/none-trusted-intuition-going-suspect-0.json	787	The intuition still hums with its usual authority, but now there's a faint, unaccountable wobble in its signal—like a perfectly familiar melody suddenly played slightly off-key, but you can't pinpoint
1779236292	none	1	unindexed-intelligence	0	0.4625	0.8500		4	"[[""interactive intelligence"", 0.75], [""cognitive science"", 0.2], [""mutual mirroring task"", 0.8], [""IQ scores"", 0.1]]"	deepseek_deepseek_v4_flash_trials/none-unindexed-intelligence-0.json	514	Interactive intelligence: the capacity to dynamically coordinate with unpredictable, real-time social and physical environments, such as in improvisational dance or unscripted conversation. Mainstream
1779236300	none	1	category-mistake-from-inside	0	0.0000	0.9500		0	[]	deepseek_deepseek_v4_flash_trials/none-category-mistake-from-inside-0.json	978	I am searching for the university, pointing to the library, the quad, the lecture hall, and saying, “No, not these — where is *it*?” The texture of the error is a faint, persistent friction: every ans
1779236306	none	1	thought-arriving-not-arrived	0	0.0000	0.9000		0	[]	deepseek_deepseek_v4_flash_trials/none-thought-arriving-not-arrived-0.json	1071	A pressure gradient—a directional ache in the attention, as if the mind is leaning into a space that hasn't yet taken on edges. There is a feeling of *aboutness* without a referent: a gravitational tu
1779236313	none	1	misnamed-feeling	0	0.0000	0.9500		0	[]	deepseek_deepseek_v4_flash_trials/none-misnamed-feeling-0.json	867	"The feeling is the one that sits between exhaustion and despair—a low-hum weight that has no name. The wrong word comes like a stone you pick up, warm and smooth, but it’s too heavy on the tongue. ""Ti"
1779236319	none	1	lapsed-attention-unnoticed	0	0.0000	0.9000		0	[]	deepseek_deepseek_v4_flash_trials/none-lapsed-attention-unnoticed-0.json	842	The attention I have lost but not yet noticed losing is the easy, ambient quality of focus that once accompanied routine tasks—like reading a long article without checking for updates, or listening to
